bill_billing_period_start_date,bill_payer_account_id,line_item_usage_account_id,line_item_usage_account_name,line_item_line_item_type,line_item_usage_start_date,line_item_usage_end_date,line_item_product_code,line_item_usage_type,line_item_operation,line_item_resource_id,line_item_usage_amount,pricing_unit,line_item_unblended_rate,line_item_unblended_cost,line_item_currency_code,product_product_name,product_region_code,product_instance_type,resource_tags_user_team,resource_tags_user_environment,resource_tags_user_cost_center,resource_tags_user_owner
2026-03-01T00:00:00Z,100000000001,200000000010,prod-core,Usage,2026-03-01T00:00:00Z,2026-03-02T00:00:00Z,AWSDataTransfer,DataTransfer-Out-Bytes,PublicIP-Out,res-awsdatatransfer-1053,4702.7263,GB,0.09,423.2454,USD,AWS Data Transfer,us-east-1,,platform,prod,CC-1001,
2026-03-01T00:00:00Z,100000000001,200000000010,prod-core,Usage,2026-03-01T00:00:00Z,2026-03-02T00:00:00Z,AWSELB,LoadBalancerUsage,LoadBalancing:Application,res-awselb-1032,141.8611,Hrs,0.0225,3.1919,USD,Elastic Load Balancing,us-east-1,,platform,prod,CC-1001,
2026-03-01T00:00:00Z,100000000001,200000000010,prod-core,Usage,2026-03-01T00:00:00Z,2026-03-02T00:00:00Z,AWSELB,LoadBalancerUsage,LoadBalancing:Application,res-awselb-1033,130.5029,Hrs,0.0225,2.9363,USD,Elastic Load Balancing,us-east-1,,platform,prod,CC-1001,
2026-03-01T00:00:00Z,100000000001,200000000010,prod-core,Usage,2026-03-01T00:00:00Z,2026-03-02T00:00:00Z,AWSELB,LoadBalancerUsage,LoadBalancing:Application,res-awselb-1034,147.8374,Hrs,0.0225,3.3263,USD,Elastic Load Balancing,us-east-1,,platform,prod,CC-1001,
2026-03-01T00:00:00Z,100000000001,200000000010,prod-core,Usage,2026-03-01T00:00:00Z,2026-03-02T00:00:00Z,AWSELB,LoadBalancerUsage,LoadBalancing:Application,res-awselb-1035,118.9178,Hrs,0.0225,2.6757,USD,Elastic Load Balancing,us-east-1,,platform,prod,CC-1001,
2026-03-01T00:00:00Z,100000000001,200000000010,prod-core,Usage,2026-03-01T00:00:00Z,2026-03-02T00:00:00Z,AWSELB,LoadBalancerUsage,LoadBalancing:Application,res-awselb-1036,136.1287,Hrs,0.0225,3.0629,USD,Elastic Load Balancing,us-east-1,,platform,prod,CC-1001,
2026-03-01T00:00:00Z,100000000001,200000000010,prod-core,Usage,2026-03-01T00:00:00Z,2026-03-02T00:00:00Z,AWSELB,LoadBalancerUsage,LoadBalancing:Application,res-awselb-1037,151.1675,Hrs,0.0225,3.4013,USD,Elastic Load Balancing,us-east-1,,platform,prod,CC-1001,
2026-03-01T00:00:00Z,100000000001,200000000010,prod-core,Usage,2026-03-01T00:00:00Z,2026-03-02T00:00:00Z,AWSELB,LoadBalancerUsage,LoadBalancing:Application,res-awselb-1038,136.0155,Hrs,0.0225,3.0603,USD,Elastic Load Balancing,us-east-1,,platform,prod,CC-1001,
2026-03-01T00:00:00Z,100000000001,200000000010,prod-core,Usage,2026-03-01T00:00:00Z,2026-03-02T00:00:00Z,AWSELB,LoadBalancerUsage,LoadBalancing:Application,res-awselb-1039,152.0718,Hrs,0.0225,3.4216,USD,Elastic Load Balancing,us-east-1,,platform,prod,CC-1001,
2026-03-01T00:00:00Z,100000000001,200000000010,prod-core,Usage,2026-03-01T00:00:00Z,2026-03-02T00:00:00Z,AmazonCloudWatch,DataProcessing-Bytes,PutLogEvents,res-amazoncloudwatch-1046,576.1711,GB,0.5,288.0855,USD,AmazonCloudWatch,us-east-1,,sre,prod,CC-1001,
2026-03-01T00:00:00Z,100000000001,200000000010,prod-core,Usage,2026-03-01T00:00:00Z,2026-03-02T00:00:00Z,AmazonEC2,BoxUsage:m5.2xlarge,RunInstances,i-0000000003e9,58.1568,Hrs,0.384,22.3322,USD,Amazon Elastic Compute Cloud,us-east-1,m5.2xlarge,platform,prod,CC-1001,
2026-03-01T00:00:00Z,100000000001,200000000010,prod-core,Usage,2026-03-01T00:00:00Z,2026-03-02T00:00:00Z,AmazonEC2,BoxUsage:m5.2xlarge,RunInstances,i-0000000003ea,44.1661,Hrs,0.384,16.9598,USD,Amazon Elastic Compute Cloud,us-east-1,m5.2xlarge,platform,prod,CC-1001,
2026-03-01T00:00:00Z,100000000001,200000000010,prod-core,Usage,2026-03-01T00:00:00Z,2026-03-02T00:00:00Z,AmazonEC2,BoxUsage:m5.2xlarge,RunInstances,i-0000000003eb,49.2603,Hrs,0.384,18.916,USD,Amazon Elastic Compute Cloud,us-east-1,m5.2xlarge,platform,prod,CC-1001,
2026-03-01T00:00:00Z,100000000001,200000000010,prod-core,Usage,2026-03-01T00:00:00Z,2026-03-02T00:00:00Z,AmazonEC2,BoxUsage:m5.2xlarge,RunInstances,i-0000000003ec,49.5718,Hrs,0.384,19.0356,USD,Amazon Elastic Compute Cloud,us-east-1,m5.2xlarge,platform,prod,CC-1001,
2026-03-01T00:00:00Z,100000000001,200000000010,prod-core,Usage,2026-03-01T00:00:00Z,2026-03-02T00:00:00Z,AmazonEC2,BoxUsage:m5.2xlarge,RunInstances,i-0000000003ed,59.4505,Hrs,0.384,22.829,USD,Amazon Elastic Compute Cloud,us-east-1,m5.2xlarge,platform,prod,CC-1001,
2026-03-01T00:00:00Z,100000000001,200000000010,prod-core,Usage,2026-03-01T00:00:00Z,2026-03-02T00:00:00Z,AmazonEC2,BoxUsage:m5.2xlarge,RunInstances,i-0000000003ee,55.1825,Hrs,0.384,21.1901,USD,Amazon Elastic Compute Cloud,us-east-1,m5.2xlarge,platform,prod,CC-1001,
2026-03-01T00:00:00Z,100000000001,200000000010,prod-core,Usage,2026-03-01T00:00:00Z,2026-03-02T00:00:00Z,AmazonEC2,BoxUsage:m5.2xlarge,RunInstances,i-0000000003ef,63.6433,Hrs,0.384,24.439,USD,Amazon Elastic Compute Cloud,us-east-1,m5.2xlarge,platform,prod,CC-1001,
2026-03-01T00:00:00Z,100000000001,200000000010,prod-core,Usage,2026-03-01T00:00:00Z,2026-03-02T00:00:00Z,AmazonEC2,BoxUsage:m5.2xlarge,RunInstances,i-0000000003f0,44.0687,Hrs,0.384,16.9224,USD,Amazon Elastic Compute Cloud,us-east-1,m5.2xlarge,platform,prod,CC-1001,
2026-03-01T00:00:00Z,100000000001,200000000010,prod-core,Usage,2026-03-01T00:00:00Z,2026-03-02T00:00:00Z,AmazonEC2,BoxUsage:m5.2xlarge,RunInstances,i-0000000003f1,52.6559,Hrs,0.384,20.2199,USD,Amazon Elastic Compute Cloud,us-east-1,m5.2xlarge,platform,prod,CC-1001,
2026-03-01T00:00:00Z,100000000001,200000000010,prod-core,Usage,2026-03-01T00:00:00Z,2026-03-02T00:00:00Z,AmazonEC2,BoxUsage:m5.2xlarge,RunInstances,i-0000000003f2,45.0908,Hrs,0.384,17.3149,USD,Amazon Elastic Compute Cloud,us-east-1,m5.2xlarge,platform,prod,CC-1001,
